CSVData,  libfabric, 12, 2048, max_level, 9, grids, 36201, Total, 8.78499, Computation, 4.12081, Regrid, 1.97462, Compare Analytics, 0.299148, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 64, max_level, 12, grids, 1931881, Total, 1747.51, Computation, 1711.06, Regrid, 30.8974, Compare Analytics, 1.47067, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 128, max_level, 11, grids, 276617, Total, 124.044, Computation, 117.99, Regrid, 5.4517, Compare Analytics, 0.0786873, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 32, max_level, 10, grids, 47753, Total, 74.9418, Computation, 71.9554, Regrid, 2.53798, Compare Analytics, 0.0473799, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 1024, max_level, 7, grids, 2857, Total, 4.92627, Computation, 2.60217, Regrid, 1.34818, Compare Analytics, 0.139054, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 2048, max_level, 7, grids, 2857, Total, 5.77744, Computation, 2.88926, Regrid, 2.0137, Compare Analytics, 0.200592, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 128, max_level, 8, grids, 9097, Total, 7.79503, Computation, 7.0505, Regrid, 0.503912, Compare Analytics, 0.00226117, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 1024, max_level, 9, grids, 36201, Total, 5.911, Computation, 4.01821, Regrid, 0.695813, Compare Analytics, 0.043997, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 1024, max_level, 11, grids, 276617, Total, 26.3129, Computation, 23.4777, Regrid, 1.54316, Compare Analytics, 0.071978, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 1024, max_level, 10, grids, 47753, Total, 10.6469, Computation, 7.60413, Regrid, 0.934413, Compare Analytics, 0.126409, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 256, max_level, 12, grids, 1931881, Total, 348.852, Computation, 330.905, Regrid, 15.8958, Compare Analytics, 0.0324958, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 64, max_level, 11, grids, 276617, Total, 238.389, Computation, 229.472, Regrid, 7.94613, Compare Analytics, 0.167085, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 256, max_level, 8, grids, 9097, Total, 5.83958, Computation, 4.99155, Regrid, 0.435014, Compare Analytics, 0.00202743, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 64, max_level, 10, grids, 47753, Total, 45.1304, Computation, 43.1112, Regrid, 1.67725, Compare Analytics, 0.0261201, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 256, max_level, 8, grids, 9097, Total, 4.26048, Computation, 3.45623, Regrid, 0.305474, Compare Analytics, 0.00254213, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 64, max_level, 12, grids, 1931881, Total, 1422.04, Computation, 1370.63, Regrid, 48.2036, Compare Analytics, 0.122843, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 32, max_level, 7, grids, 2857, Total, 5.69767, Computation, 4.86704, Regrid, 0.668751, Compare Analytics, 0.00125451, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 32, max_level, 11, grids, 276617, Total, 357.582, Computation, 342.081, Regrid, 13.7943, Compare Analytics, 0.0310492, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 256, max_level, 12, grids, 1931881, Total, 465.884, Computation, 444.16, Regrid, 20.0749, Compare Analytics, 0.444755, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 128, max_level, 9, grids, 36201, Total, 15.6044, Computation, 14.5128, Regrid, 0.78746, Compare Analytics, 0.00219565, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 64, max_level, 9, grids, 36201, Total, 31.8621, Computation, 30.2076, Regrid, 1.37135, Compare Analytics, 0.0216101, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 256, max_level, 7, grids, 2857, Total, 3.87232, Computation, 3.04296, Regrid, 0.522805, Compare Analytics, 0.0520329, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 64, max_level, 8, grids, 9097, Total, 11.5712, Computation, 10.4919, Regrid, 0.843785, Compare Analytics, 0.0038412, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 512, max_level, 12, grids, 1931881, Total, 188.445, Computation, 175.274, Regrid, 11.9231, Compare Analytics, 0.0210024, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 1024, max_level, 9, grids, 36201, Total, 8.85304, Computation, 6.4119, Regrid, 0.925312, Compare Analytics, 0.102229, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 256, max_level, 11, grids, 276617, Total, 68.1842, Computation, 64.4734, Regrid, 2.93631, Compare Analytics, 0.0734249, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 256, max_level, 9, grids, 36201, Total, 12.7442, Computation, 11.7448, Regrid, 0.732179, Compare Analytics, 0.00365982, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 2048, max_level, 8, grids, 9097, Total, 7.8869, Computation, 3.86004, Regrid, 2.15112, Compare Analytics, 0.288289, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 512, max_level, 9, grids, 36201, Total, 6.09606, Computation, 5.11924, Regrid, 0.580224, Compare Analytics, 0.00208849, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 2048, max_level, 11, grids, 276617, Total, 27.7337, Computation, 14.7675, Regrid, 11.6339, Compare Analytics, 0.17551, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 2048, max_level, 10, grids, 47753, Total, 7.38404, Computation, 4.08703, Regrid, 1.80992, Compare Analytics, 0.199327, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 2048, max_level, 12, grids, 1931881, Total, 78.9725, Computation, 71.3101, Regrid, 5.09464, Compare Analytics, 0.301101, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 128, max_level, 10, grids, 47753, Total, 25.9371, Computation, 24.6993, Regrid, 0.965931, Compare Analytics, 0.0136657, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 128, max_level, 8, grids, 9097, Total, 5.70913, Computation, 4.91568, Regrid, 0.387415, Compare Analytics, 0.00189697, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 2048, max_level, 9, grids, 36201, Total, 8.59379, Computation, 5.22837, Regrid, 1.69296, Compare Analytics, 0.206685, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 2048, max_level, 11, grids, 276617, Total, 12.6869, Computation, 10.0941, Regrid, 1.03106, Compare Analytics, 0.162481, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 1024, max_level, 13, grids, 14512009, Total, 1101.52, Computation, 1069.36, Regrid, 27.791, Compare Analytics, 1.03786, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 32, max_level, 8, grids, 9097, Total, 14.4236, Computation, 13.0167, Regrid, 1.13656, Compare Analytics, 0.00195578, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 512, max_level, 8, grids, 9097, Total, 5.24785, Computation, 3.99525, Regrid, 0.561809, Compare Analytics, 0.0842255, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 2048, max_level, 8, grids, 9097, Total, 6.66937, Computation, 3.05208, Regrid, 1.92698, Compare Analytics, 0.270828, Find Localities, 0, coalesce, 0
