CSVData,        mpi, 12, 1024, max_level, 7, grids, 2857, Total, 4.36688, Computation, 3.03245, Regrid, 0.879581, Compare Analytics, 0.00213405, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 128, max_level, 7, grids, 2857, Total, 4.23327, Computation, 3.63306, Regrid, 0.359488, Compare Analytics, 0.00235146, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 2048, max_level, 7, grids, 2857, Total, 5.25623, Computation, 3.06909, Regrid, 1.55548, Compare Analytics, 0.00306565, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 256, max_level, 7, grids, 2857, Total, 4.11627, Computation, 3.13713, Regrid, 0.589213, Compare Analytics, 0.00225582, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 32, max_level, 7, grids, 2857, Total, 8.97809, Computation, 6.96196, Regrid, 1.83855, Compare Analytics, 0.00173927, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 512, max_level, 7, grids, 2857, Total, 4.02592, Computation, 2.80826, Regrid, 0.772059, Compare Analytics, 0.00225515, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 64, max_level, 7, grids, 2857, Total, 5.57399, Computation, 4.9877, Regrid, 0.370753, Compare Analytics, 0.00181739, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 1024, max_level, 7, grids, 2857, Total, 3.437, Computation, 2.43844, Regrid, 0.612868, Compare Analytics, 0.00182927, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 128, max_level, 7, grids, 2857, Total, 3.01098, Computation, 2.50877, Regrid, 0.236341, Compare Analytics, 0.00209724, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 2048, max_level, 7, grids, 2857, Total, 4.67352, Computation, 2.87462, Regrid, 1.20032, Compare Analytics, 0.00190037, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 256, max_level, 7, grids, 2857, Total, 3.97909, Computation, 2.36221, Regrid, 1.30379, Compare Analytics, 0.0018959, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 32, max_level, 7, grids, 2857, Total, 5.49295, Computation, 4.95101, Regrid, 0.394657, Compare Analytics, 0.00133635, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 512, max_level, 7, grids, 2857, Total, 3.84831, Computation, 2.48012, Regrid, 0.824415, Compare Analytics, 0.00213925, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 64, max_level, 7, grids, 2857, Total, 4.76367, Computation, 3.24562, Regrid, 1.36727, Compare Analytics, 0.00145239, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 1024, max_level, 8, grids, 9097, Total, 5.06097, Computation, 3.58478, Regrid, 0.830106, Compare Analytics, 0.00257252, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 128, max_level, 8, grids, 9097, Total, 8.06007, Computation, 7.28524, Regrid, 0.566154, Compare Analytics, 0.00296625, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 2048, max_level, 8, grids, 9097, Total, 6.20167, Computation, 3.61408, Regrid, 1.76185, Compare Analytics, 0.00365722, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 256, max_level, 8, grids, 9097, Total, 6.58327, Computation, 5.51319, Regrid, 0.579259, Compare Analytics, 0.00205979, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 32, max_level, 8, grids, 9097, Total, 19.1708, Computation, 16.0829, Regrid, 2.76055, Compare Analytics, 0.00592707, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 512, max_level, 8, grids, 9097, Total, 5.44205, Computation, 4.47541, Regrid, 0.587319, Compare Analytics, 0.00288235, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 64, max_level, 8, grids, 9097, Total, 11.0583, Computation, 10.3561, Regrid, 0.499495, Compare Analytics, 0.00392857, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 1024, max_level, 8, grids, 9097, Total, 5.22212, Computation, 3.09832, Regrid, 0.789089, Compare Analytics, 0.00199443, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 128, max_level, 8, grids, 9097, Total, 5.78508, Computation, 4.75361, Regrid, 0.844535, Compare Analytics, 0.00176448, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 2048, max_level, 8, grids, 9097, Total, 5.19124, Computation, 2.81174, Regrid, 1.33116, Compare Analytics, 0.00211931, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 256, max_level, 8, grids, 9097, Total, 4.18812, Computation, 3.4227, Regrid, 0.32255, Compare Analytics, 0.00171679, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 32, max_level, 8, grids, 9097, Total, 14.0001, Computation, 13.258, Regrid, 0.49315, Compare Analytics, 0.00186188, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 512, max_level, 8, grids, 9097, Total, 6.07354, Computation, 3.38858, Regrid, 0.929365, Compare Analytics, 0.0019618, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 64, max_level, 8, grids, 9097, Total, 10.3901, Computation, 7.82087, Regrid, 2.37542, Compare Analytics, 0.00170604, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 1024, max_level, 9, grids, 36201, Total, 7.4432, Computation, 5.82441, Regrid, 1.02586, Compare Analytics, 0.00252536, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 128, max_level, 9, grids, 36201, Total, 21.0348, Computation, 19.7387, Regrid, 0.996085, Compare Analytics, 0.00938321, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 2048, max_level, 9, grids, 36201, Total, 7.55322, Computation, 4.91602, Regrid, 1.43983, Compare Analytics, 0.00306323, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 256, max_level, 9, grids, 36201, Total, 16.2552, Computation, 12.0527, Regrid, 3.35486, Compare Analytics, 0.0041608, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 32, max_level, 9, grids, 36201, Total, 64.0431, Computation, 60.6414, Regrid, 2.9111, Compare Analytics, 0.0405441, Find Localities, 0, coalesce, 0
