CSVData,  libfabric, 12, 64, max_level, 9, grids, 36201, Total, 26.381, Computation, 24.7631, Regrid, 1.36205, Compare Analytics, 0.00346993, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 128, max_level, 10, grids, 47753, Total, 27.6793, Computation, 24.9623, Regrid, 1.53868, Compare Analytics, 0.0112977, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 256, max_level, 10, grids, 47753, Total, 19.6342, Computation, 16.4191, Regrid, 1.54917, Compare Analytics, 0.00594239, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 32, max_level, 10, grids, 47753, Total, 76.4171, Computation, 72.8407, Regrid, 2.58725, Compare Analytics, 0.044871, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 512, max_level, 10, grids, 47753, Total, 11.4093, Computation, 9.55954, Regrid, 1.0399, Compare Analytics, 0.00363376, Find Localities, 0, coalesce, 0
CSVData,        mpi, 12, 64, max_level, 10, grids, 47753, Total, 43.3955, Computation, 41.3637, Regrid, 1.6393, Compare Analytics, 0.0296356, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 1024, max_level, 10, grids, 47753, Total, 7.17504, Computation, 4.48289, Regrid, 1.95145, Compare Analytics, 0.00195955, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 128, max_level, 10, grids, 47753, Total, 20.5521, Computation, 19.4932, Regrid, 0.80759, Compare Analytics, 0.00299409, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 256, max_level, 10, grids, 47753, Total, 13.5616, Computation, 11.6581, Regrid, 0.859303, Compare Analytics, 0.00255201, Find Localities, 0, coalesce, 0
CSVData,  libfabric, 12, 32, max_level, 10, grids, 47753, Total, 66.0053, Computation, 62.0036, Regrid, 3.06394, Compare Analytics, 0.00823015, Find Localities, 0, coalesce, 0
